rank,wave,action,priority_score,url_type,title,category_slug,category_name,slug,last_modified,sitemap_priority,url,reason
1,wave_1,request_now,149,calculator,Kredi Taksit Hesaplama,finansal-hesaplamalar,Finans,kredi-taksit-hesaplama,2026-04-01T00:00:00.000Z,0.80,https://www.hesapmod.com/finansal-hesaplamalar/kredi-taksit-hesaplama,sitemap:0.80; calculator-landing; category-boost:16; slug-boost:24; guide-support:9; homepage-featured
2,wave_1,request_now,148,calculator,Maaş Hesaplama (Brüt - Net),maas-ve-vergi,Maaş & Vergi,maas-hesaplama,2026-04-01T00:00:00.000Z,0.80,https://www.hesapmod.com/maas-ve-vergi/maas-hesaplama,sitemap:0.80; calculator-landing; category-boost:15; slug-boost:24; guide-support:9; homepage-featured
3,wave_1,request_now,143,calculator,KDV Hesaplama (Dahil ve Hariç),finansal-hesaplamalar,Finans,kdv-hesaplama,2026-04-01T00:00:00.000Z,0.80,https://www.hesapmod.com/finansal-hesaplamalar/kdv-hesaplama,sitemap:0.80; calculator-landing; category-boost:16; slug-boost:18; guide-support:9; homepage-featured
4,wave_1,request_now,139,calculator,İhtiyaç Kredisi Hesaplama,finansal-hesaplamalar,Finans,ihtiyac-kredisi-hesaplama,2026-04-01T00:00:00.000Z,0.80,https://www.hesapmod.com/finansal-hesaplamalar/ihtiyac-kredisi-hesaplama,sitemap:0.80; calculator-landing; category-boost:16; slug-boost:22; guide-support:9
5,wave_1,request_now,138,calculator,Konut Kredisi Hesaplama,finansal-hesaplamalar,Finans,konut-kredisi-hesaplama,2026-04-01T00:00:00.000Z,0.80,https://www.hesapmod.com/finansal-hesaplamalar/konut-kredisi-hesaplama,sitemap:0.80; calculator-landing; category-boost:16; slug-boost:21; guide-support:9
6,wave_1,request_now,137,calculator,Mevduat Faiz Hesaplama,finansal-hesaplamalar,Finans,mevduat-faiz-hesaplama,2026-04-01T00:00:00.000Z,0.80,https://www.hesapmod.com/finansal-hesaplamalar/mevduat-faiz-hesaplama,sitemap:0.80; calculator-landing; category-boost:16; slug-boost:20; guide-support:9
7,wave_1,request_now,136,calculator,Altın Hesaplama,finansal-hesaplamalar,Finans,altin-hesaplama,2026-05-01T09:00:00.000Z,0.80,https://www.hesapmod.com/finansal-hesaplamalar/altin-hesaplama,sitemap:0.80; calculator-landing; category-boost:16; slug-boost:15; guide-support:9
8,wave_1,request_now,135,home,Ana Sayfa,,,,2026-05-02T09:00:00.000Z,1.00,https://www.hesapmod.com,sitemap:1.00; site-entry-point
9,wave_1,request_now,135,calculator,Enflasyon Hesaplama Aracı,finansal-hesaplamalar,Finans,enflasyon-hesaplama,2026-04-01T00:00:00.000Z,0.80,https://www.hesapmod.com/finansal-hesaplamalar/enflasyon-hesaplama,sitemap:0.80; calculator-landing; category-boost:16; slug-boost:18; guide-support:9
10,wave_1,request_now,135,calculator,Kira Artış Hesaplama,finansal-hesaplamalar,Finans,kira-artis-hesaplama,2026-04-01T00:00:00.000Z,0.80,https://www.hesapmod.com/finansal-hesaplamalar/kira-artis-hesaplama,sitemap:0.80; calculator-landing; category-boost:16; slug-boost:18; guide-support:9
11,wave_1,request_now,133,calculator,Kıdem Tazminatı Hesaplama,maas-ve-vergi,Maaş & Vergi,kidem-tazminati-hesaplama,2026-03-15T00:00:00.000Z,0.80,https://www.hesapmod.com/maas-ve-vergi/kidem-tazminati-hesaplama,sitemap:0.80; calculator-landing; category-boost:15; slug-boost:17; guide-support:9
12,wave_1,request_now,133,calculator,Gelir Vergisi Hesaplama,maas-ve-vergi,Maaş & Vergi,gelir-vergisi-hesaplama,2026-03-14T00:00:00.000Z,0.80,https://www.hesapmod.com/maas-ve-vergi/gelir-vergisi-hesaplama,sitemap:0.80; calculator-landing; category-boost:15; slug-boost:17; guide-support:9
13,wave_1,request_now,132,calculator,Döviz Hesaplama / Çevirici,finansal-hesaplamalar,Finans,doviz-hesaplama,2026-04-01T09:00:00.000Z,0.80,https://www.hesapmod.com/finansal-hesaplamalar/doviz-hesaplama,sitemap:0.80; calculator-landing; category-boost:16; slug-boost:15; guide-support:9
14,wave_1,request_now,132,calculator,"YKS Puan Hesaplama (TYT, AYT, YDT)",sinav-hesaplamalari,Sınav,yks-puan-hesaplama,2026-04-01T00:00:00.000Z,0.80,https://www.hesapmod.com/sinav-hesaplamalari/yks-puan-hesaplama,sitemap:0.80; calculator-landing; category-boost:12; slug-boost:14; guide-support:6; homepage-featured
15,wave_1,request_now,131,calculator,Eurobond Getiri ve Vergi Hesaplama,finansal-hesaplamalar,Finans,eurobond-hesaplama,2026-03-28T00:00:00.000Z,0.80,https://www.hesapmod.com/finansal-hesaplamalar/eurobond-hesaplama,sitemap:0.80; calculator-landing; category-boost:16; slug-boost:14; guide-support:9
16,wave_1,request_now,131,calculator,İhbar Tazminatı Hesaplama,maas-ve-vergi,Maaş & Vergi,ihbar-tazminati-hesaplama,2026-03-15T00:00:00.000Z,0.80,https://www.hesapmod.com/maas-ve-vergi/ihbar-tazminati-hesaplama,sitemap:0.80; calculator-landing; category-boost:15; slug-boost:15; guide-support:9
